Name,E605
Comment,E605 data
Reference,Phys.Rev.D 43 (1991) 2815
Process type,DY
Number of points,74
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.15
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E605.10Q11.3,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,0.7,0.6,0.7999999999999999,0.0624,0.01040673,0.00312,3.789403406950001,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.4,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,0.9,0.8,1.0,0.0503,0.008383004,0.002515,2.9473137609611118,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.5,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,1.1,1.0,1.2000000000000002,0.039,0.006504606,0.0019500000000000001,2.411438531695452,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.6,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,1.3,1.2,1.4000000000000001,0.0312,0.005237709,0.00156,2.0404479883576903,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.7,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,1.5,1.4,1.6,0.0234,0.003992368,0.00117,1.7683882565766642,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.8,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,1.7,1.5999999999999999,1.8,0.0147,0.002542273,0.000735,1.5603425793323515,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.9,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,1.9,1.7999999999999998,2.0,0.0131,0.002326768,0.0006550000000000001,1.396095992034209,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.10,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,2.1,2.0,2.2,0.00705,0.00132647,0.0003525,1.263134468983332,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.11,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,2.3,2.1999999999999997,2.4,0.005,0.0009967191,0.00025,1.153296689071738,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.12,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,2.5,2.4,2.6,0.00459,0.0009558172,0.00022950000000000002,1.061032953945999,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.13,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,2.7,2.6,2.8000000000000003,0.0033,0.0007853783,0.000165,0.9824379203203694,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.14,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,2.9,2.8,3.0,0.00215,0.0005988418,0.00010750000000000001,0.9146835809879302,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.15,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,3.1,3.0,3.2,0.00159,0.0005811871,7.950000000000001e-05,0.8556717370532244,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.0,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,0.1,0.0,0.2,0.0508,0.01028263,0.00254,26.525823848649996,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.1,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,0.3,0.19999999999999998,0.4,0.0679,0.01175603,0.0033950000000000004,8.84194128288333,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.2,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,0.5,0.4,0.6,0.0646,0.01092272,0.0032300000000000002,5.305164769730001,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.3,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,0.7,0.6,0.7999999999999999,0.0492,0.008211754,0.0024600000000000004,3.789403406950001,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.4,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,0.9,0.8,1.0,0.0417,0.006947543,0.002085,2.9473137609611118,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.5,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,1.1,1.0,1.2000000000000002,0.0323,0.005401838,0.0016150000000000001,2.411438531695452,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.6,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,1.3,1.2,1.4000000000000001,0.0247,0.004169394,0.001235,2.0404479883576903,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.7,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,1.5,1.4,1.6,0.0194,0.003290152,0.00097,1.7683882565766642,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.8,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,1.7,1.5999999999999999,1.8,0.0137,0.002375884,0.0006850000000000001,1.5603425793323515,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.9,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,1.9,1.7999999999999998,2.0,0.00866,0.001552176,0.000433,1.396095992034209,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.10,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,2.1,2.0,2.2,0.00679,0.001247838,0.0003395,1.263134468983332,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.11,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,2.3,2.1999999999999997,2.4,0.0044,0.0008868484,0.00022000000000000003,1.153296689071738,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.12,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,2.5,2.4,2.6,0.00334,0.0007156668,0.00016700000000000002,1.061032953945999,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.13,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,2.7,2.6,2.8000000000000003,0.00262,0.0005899237,0.000131,0.9824379203203694,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.14,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,2.9,2.8,3.0,0.00165,0.0004206691,8.25e-05,0.9146835809879302,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.15,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,3.1,3.0,3.2,0.0012,0.0003415494,5.9999999999999995e-05,0.8556717370532244,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.16,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,3.3,3.1999999999999997,3.4,0.00111,0.0003458417,5.550000000000001e-05,0.8038128438984847,False,0.0,0.0,-1000.0,1000.0
E605.11Q13.17,2 - 2 - 1002,1502.3375999999998,12.5,11.5,13.5,0.05,-0.1,0.2,3.5,3.4,3.6,0.000654,0.0002640869,3.27e-05,0.7578806813899988,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.0,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,0.1,0.0,0.2,0.024,0.00664918,0.0012000000000000001,26.525823848649996,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.1,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,0.3,0.19999999999999998,0.4,0.0206,0.004361078,0.00103,8.84194128288333,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.2,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,0.5,0.4,0.6,0.0188,0.003656898,0.0009400000000000001,5.305164769730001,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.3,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,0.7,0.6,0.7999999999999999,0.0171,0.003204473,0.0008550000000000001,3.789403406950001,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.4,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,0.9,0.8,1.0,0.00973,0.001926765,0.00048650000000000006,2.9473137609611118,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.5,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,1.1,1.0,1.2000000000000002,0.0107,0.002012548,0.000535,2.411438531695452,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.6,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,1.3,1.2,1.4000000000000001,0.00791,0.001528674,0.0003955,2.0404479883576903,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.7,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,1.5,1.4,1.6,0.00605,0.001183584,0.00030250000000000003,1.7683882565766642,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.8,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,1.7,1.5999999999999999,1.8,0.0035,0.000751885,0.00017500000000000003,1.5603425793323515,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.9,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,1.9,1.7999999999999998,2.0,0.00194,0.0004721981,9.700000000000001e-05,1.396095992034209,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.10,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,2.1,2.0,2.2,0.002,0.00048369,0.0001,1.263134468983332,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.11,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,2.3,2.1999999999999997,2.4,0.00136,0.0003642472,6.800000000000001e-05,1.153296689071738,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.12,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,2.5,2.4,2.6,0.00136,0.0003594218,6.800000000000001e-05,1.061032953945999,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.13,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,2.7,2.6,2.8000000000000003,0.0006,0.0002132627,2.9999999999999997e-05,0.9824379203203694,False,0.0,0.0,-1000.0,1000.0
E605.13Q18.14,2 - 2 - 1002,1502.3375999999998,15.75,13.5,18.0,0.05,-0.1,0.2,2.9,2.8,3.0,0.000435,0.0001796848,2.175e-05,0.9146835809879302,False,0.0,0.0,-1000.0,1000.0
